epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2834.58,1.06177,2.64458,1.62957,0.43553,0.21944,0.17049,0.11419,1.20966,2.64129,1.82295,0.00974557,0.00974557,0.00974557
43,2888.85,1.06117,2.6575,1.64006,0.38002,0.22249,0.18497,0.12273,1.27376,2.60635,1.9426,0.00973312,0.00973312,0.00973312
44,2949.96,1.04391,2.60715,1.62699,0.44162,0.19228,0.18715,0.13079,1.17459,2.58824,1.80941,0.00972039,0.00972039,0.00972039
45,3008.87,1.04152,2.59528,1.62872,0.39315,0.19969,0.18994,0.13102,1.20922,2.60701,1.83946,0.00970736,0.00970736,0.00970736
46,3062.38,1.04288,2.58233,1.62724,0.55649,0.20826,0.19095,0.12825,1.22024,2.59614,1.86293,0.00969405,0.00969405,0.00969405
47,3115.36,1.0558,2.55994,1.62593,0.4013,0.21776,0.20949,0.14697,1.2025,2.58503,1.85836,0.00968045,0.00968045,0.00968045
48,3177.42,1.03397,2.53321,1.61554,0.42003,0.24511,0.19302,0.13473,1.17531,2.54489,1.80983,0.00966656,0.00966656,0.00966656
49,3243.5,1.03385,2.51313,1.60724,0.35525,0.22719,0.19209,0.12947,1.25585,2.56221,1.92843,0.00965239,0.00965239,0.00965239
50,3304.55,1.03043,2.51026,1.60746,0.31228,0.25932,0.19386,0.13429,1.19228,2.49696,1.8264,0.00963794,0.00963794,0.00963794
51,3365.86,1.02497,2.52418,1.59574,0.38862,0.26233,0.20395,0.13766,1.18675,2.51191,1.82901,0.0096232,0.0096232,0.0096232
52,3427.7,1.00771,2.45603,1.57961,0.42273,0.26339,0.20945,0.13997,1.21499,2.51652,1.89701,0.00960819,0.00960819,0.00960819
53,3490.92,1.00333,2.45428,1.58056,0.40546,0.26359,0.21603,0.15119,1.17767,2.54328,1.79872,0.00959289,0.00959289,0.00959289
54,3553.26,0.99192,2.4443,1.57212,0.33439,0.28817,0.23566,0.166,1.15761,2.42259,1.76591,0.00957731,0.00957731,0.00957731
55,3618.03,0.99964,2.40842,1.58233,0.31413,0.26537,0.21018,0.14536,1.19553,2.53777,1.82713,0.00956145,0.00956145,0.00956145
