epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7936,1.07686,4.92398,1.62374,0.01155,0.29039,0.03502,0.02528,0.95261,3.74047,1.61547,7.4932e-05,7.4932e-05,7.4932e-05
2,97.6924,0.99218,4.54499,1.57966,0.76033,0.0473,0.07618,0.04875,1.16429,3.71042,1.8419,0.000150562,0.000150562,0.000150562
3,144.963,1.00919,4.25446,1.58909,0.46249,0.11898,0.10243,0.06922,1.1455,3.39758,1.82391,0.000226044,0.000226044,0.000226044
4,192.737,1.00221,4.0193,1.59471,0.41349,0.11738,0.09717,0.06226,1.14474,3.13317,1.83563,0.000226501,0.000226501,0.000226501
5,240.478,1.01735,3.80524,1.59203,0.30199,0.25255,0.13509,0.09557,1.13669,3.38684,1.77955,0.000226114,0.000226114,0.000226114
6,295.91,1.01266,3.63665,1.59377,0.34049,0.26365,0.1661,0.10676,1.22484,2.95959,1.87155,0.000225617,0.000225617,0.000225617
7,343.264,0.99467,3.50114,1.57283,0.37229,0.25714,0.17605,0.11767,1.23861,3.18232,1.91814,0.00022501,0.00022501,0.00022501
8,390.773,0.98198,3.34086,1.56785,0.38643,0.27101,0.20674,0.13264,1.20106,2.97841,1.86715,0.000224294,0.000224294,0.000224294
9,437.961,0.97982,3.23197,1.54689,0.35869,0.27013,0.22775,0.15274,1.20611,2.67839,1.88532,0.00022347,0.00022347,0.00022347
10,486.505,0.96042,3.09177,1.53156,0.33189,0.32516,0.22539,0.14421,1.23816,2.79066,1.90212,0.000222538,0.000222538,0.000222538
11,535.001,0.93744,3.01303,1.51259,0.42521,0.3091,0.25702,0.17525,1.17408,2.66879,1.78247,0.0002215,0.0002215,0.0002215
12,583.809,0.93968,2.91176,1.50512,0.43526,0.32011,0.30053,0.20213,1.12353,2.41846,1.74229,0.000220357,0.000220357,0.000220357
13,632.041,0.92821,2.83415,1.49726,0.29275,0.30994,0.25618,0.1575,1.28233,2.6601,1.95191,0.000219109,0.000219109,0.000219109
14,681.001,0.91422,2.76645,1.48245,0.29479,0.34716,0.29212,0.18114,1.25375,2.45438,1.91512,0.000217758,0.000217758,0.000217758
15,729.864,0.90942,2.67213,1.46322,0.30631,0.30151,0.25231,0.1533,1.37028,2.91054,2.14502,0.000216306,0.000216306,0.000216306
16,777.984,0.90915,2.59954,1.47284,0.35601,0.33452,0.29867,0.18257,1.26114,2.52235,1.94662,0.000214753,0.000214753,0.000214753
17,826.583,0.88077,2.52935,1.44113,0.37079,0.31167,0.30693,0.19697,1.27198,2.52008,1.93703,0.000213101,0.000213101,0.000213101
18,875.94,0.87588,2.44761,1.44272,0.46644,0.32567,0.32437,0.21307,1.18764,2.42111,1.84094,0.000211352,0.000211352,0.000211352
19,924.224,0.86049,2.37781,1.42248,0.36432,0.37628,0.33133,0.21294,1.21714,2.39592,1.88688,0.000209508,0.000209508,0.000209508
20,972.975,0.85328,2.29213,1.41328,0.50842,0.31758,0.34446,0.22459,1.2067,2.38026,1.87354,0.00020757,0.00020757,0.00020757
21,1021.23,0.84423,2.22974,1.40374,0.31948,0.40299,0.33542,0.21206,1.23314,2.4763,1.90866,0.00020554,0.00020554,0.00020554
22,1069.39,0.84128,2.14783,1.39529,0.45746,0.37424,0.37606,0.24812,1.16121,2.30126,1.79848,0.000203421,0.000203421,0.000203421
23,1117.75,0.83029,2.11909,1.39206,0.3766,0.4288,0.37351,0.24006,1.22214,2.26649,1.90408,0.000201214,0.000201214,0.000201214
24,1166.04,0.8201,2.01902,1.37498,0.48471,0.3851,0.39555,0.25706,1.17623,2.22021,1.84151,0.000198921,0.000198921,0.000198921
